@relation '51java-nominal-csv (6)-weka.filters.unsupervised.attribute.Remove-R1-3'

@attribute joblocation_num {'First-tier city','Other First-tier city','Second-tier city','Third-tier city'}
@attribute Internship {No,Yes}
@attribute education {Bachelor,'College degree','Not Required',Master}
@attribute experience {'2 years','3 years','5 years','1 year','no experience','Not Required','8 years','Fresh graduate','4 years','7 years','over 10 years','6 years'}
@attribute Average_salary {medium,low}
@attribute company_style {State-owned,Listed,Private-owned,'Foreign (except EU & US)','Joint venture',New,'Foreign(EU & US)',Institution,Non-profit}
@attribute company_scale {1000-5000,500-1000,'Less than 50',150-500,50-150,'Over 10k',5000-10000}
@attribute job_industry {'Communications/Telecommunications/Network equipment','Computer services','Computer Software/Hardware','Professional service',E-commerce,'Medical/Biological Engineering',Others,Gaming,Service,'Engineering/Electronic technology',Finance,Equipment,Education}
@attribute job_classification {'System architect','Software Engineer','Internet Software Development Engineer','Java Developer','Web front-end development','Senior software engineer',Others,Manager,ERP,'Technical support/maintenance engineer'}

@data
'Other First-tier city',No,'College degree','3 years',medium,Listed,150-500,'Computer Software/Hardware','Java Developer'
'Other First-tier city',No,'College degree','3 years',medium,Listed,500-1000,E-commerce,'Senior software engineer'
'Other First-tier city',No,'College degree','Fresh graduate',low,Private-owned,150-500,'Computer Software/Hardware','Web front-end development'
'Other First-tier city',No,'College degree','3 years',medium,Listed,500-1000,Gaming,'Java Developer'
'Other First-tier city',No,'College degree','5 years',medium,Private-owned,'Less than 50','Computer Software/Hardware','Senior software engineer'
'Second-tier city',No,Bachelor,'3 years',medium,Private-owned,'Less than 50','Computer Software/Hardware','Software Engineer'
'Other First-tier city',No,'College degree','3 years',medium,Private-owned,1000-5000,'Computer services','Software Engineer'
'Third-tier city',No,Bachelor,'3 years',low,State-owned,150-500,'Computer services','Internet Software Development Engineer'
'Third-tier city',No,Bachelor,'3 years',medium,Private-owned,500-1000,'Communications/Telecommunications/Network equipment','Software Engineer'
'Third-tier city',Yes,Bachelor,'Fresh graduate',low,Private-owned,500-1000,'Computer services','Software Engineer'
'Third-tier city',No,Bachelor,'5 years',medium,Private-owned,50-150,Finance,'Senior software engineer'
'Third-tier city',No,'College degree','1 year',medium,Private-owned,150-500,Others,'Software Engineer'
'Third-tier city',No,Bachelor,'2 years',medium,Private-owned,150-500,Others,Others
'Third-tier city',No,'College degree','3 years',low,State-owned,500-1000,'Computer services','Technical support/maintenance engineer'
'Third-tier city',No,Bachelor,'2 years',medium,Listed,'Over 10k','Communications/Telecommunications/Network equipment','Senior software engineer'
'Third-tier city',No,Bachelor,'2 years',low,Private-owned,50-150,'Computer services','Software Engineer'
'Third-tier city',No,Bachelor,'2 years',low,Private-owned,50-150,'Computer Software/Hardware','Software Engineer'
'Third-tier city',No,Bachelor,'2 years',low,Listed,1000-5000,'Computer Software/Hardware','Software Engineer'
'Third-tier city',No,'College degree','1 year',low,Private-owned,150-500,'Computer services','Java Developer'
'Third-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,'Computer services','Software Engineer'
'Third-tier city',No,'College degree','1 year',low,Private-owned,50-150,'Engineering/Electronic technology','Web front-end development'
'Third-tier city',No,Bachelor,'2 years',low,'Joint venture',1000-5000,'Computer Software/Hardware','Software Engineer'
'Third-tier city',No,'College degree','1 year',medium,Private-owned,'Less than 50','Engineering/Electronic technology','Internet Software Development Engineer'
'Third-tier city',No,Bachelor,'2 years',medium,Private-owned,500-1000,'Computer services','Senior software engineer'
'Third-tier city',No,'College degree','3 years',medium,Private-owned,'Less than 50','Computer services','Internet Software Development Engineer'
'Third-tier city',No,Bachelor,'1 year',medium,Private-owned,50-150,'Communications/Telecommunications/Network equipment','Software Engineer'
'Third-tier city',No,'College degree','3 years',medium,Private-owned,'Less than 50','Computer services','Software Engineer'
'Third-tier city',No,Bachelor,'2 years',low,State-owned,150-500,Education,'Internet Software Development Engineer'
'Third-tier city',No,'College degree','3 years',medium,Private-owned,50-150,'Computer Software/Hardware','Senior software engineer'
'Third-tier city',No,Bachelor,'2 years',medium,Listed,'Over 10k','Communications/Telecommunications/Network equipment','Software Engineer'
'Third-tier city',No,Bachelor,'1 year',medium,'Foreign(EU & US)',1000-5000,Finance,'Internet Software Development Engineer'
'Third-tier city',No,Bachelor,'1 year',low,Private-owned,50-150,'Computer services','Software Engineer'
'Third-tier city',No,'College degree','3 years',medium,Private-owned,'Less than 50','Computer Software/Hardware','Software Engineer'
'Third-tier city',No,Bachelor,'3 years',low,Listed,500-1000,Finance,'Senior software engineer'
'Third-tier city',No,'College degree','1 year',low,Listed,1000-5000,'Computer Software/Hardware','Software Engineer'
'Third-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,'Computer services',Others
'Third-tier city',No,Bachelor,'1 year',low,Private-owned,'Less than 50','Computer Software/Hardware',ERP
'Third-tier city',No,Bachelor,'3 years',low,Private-owned,50-150,'Computer Software/Hardware','Software Engineer'
'Third-tier city',No,Bachelor,'1 year',medium,Listed,5000-10000,Education,Others
'Third-tier city',No,'College degree','3 years',medium,Private-owned,500-1000,E-commerce,'Software Engineer'
'Third-tier city',No,'College degree','2 years',low,Private-owned,500-1000,'Communications/Telecommunications/Network equipment','Software Engineer'
'Third-tier city',No,Bachelor,'3 years',medium,Listed,500-1000,'Computer services','Software Engineer'
'Third-tier city',No,Master,'3 years',medium,State-owned,1000-5000,'Computer Software/Hardware','Software Engineer'
'Third-tier city',No,Bachelor,'Fresh graduate',medium,Private-owned,'Less than 50','Computer Software/Hardware','Software Engineer'
'Third-tier city',No,'College degree','2 years',low,Private-owned,50-150,'Computer Software/Hardware','Software Engineer'
'Third-tier city',Yes,Bachelor,'Fresh graduate',low,Private-owned,'Less than 50','Computer services','Java Developer'
'Third-tier city',No,Bachelor,'3 years',low,Private-owned,150-500,'Computer Software/Hardware','Software Engineer'
'Third-tier city',No,Bachelor,'2 years',low,Private-owned,1000-5000,'Computer Software/Hardware','Software Engineer'
'Third-tier city',No,Bachelor,'Not Required',medium,State-owned,150-500,Others,'Software Engineer'
'Third-tier city',No,Bachelor,'3 years',medium,'Joint venture',50-150,E-commerce,'Software Engineer'
'Third-tier city',Yes,Bachelor,'Fresh graduate',medium,'Foreign(EU & US)',150-500,'Computer Software/Hardware','Java Developer'
'Third-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,'Engineering/Electronic technology','Senior software engineer'
'Third-tier city',No,'College degree','1 year',low,Private-owned,50-150,'Computer Software/Hardware','Internet Software Development Engineer'
'Other First-tier city',No,Bachelor,'Fresh graduate',medium,Private-owned,'Over 10k','Communications/Telecommunications/Network equipment','Java Developer'
'Third-tier city',No,'College degree','2 years',low,Private-owned,'Less than 50',E-commerce,'Senior software engineer'
'Third-tier city',No,'Not Required','1 year',low,Private-owned,150-500,'Computer Software/Hardware','Software Engineer'
'Third-tier city',No,Bachelor,'3 years',medium,Private-owned,1000-5000,'Computer Software/Hardware','Technical support/maintenance engineer'
'Third-tier city',No,Bachelor,'2 years',low,Listed,1000-5000,E-commerce,'Software Engineer'
'Third-tier city',No,'College degree','1 year',low,New,150-500,'Computer services','Senior software engineer'
'Third-tier city',No,'College degree','1 year',low,Listed,500-1000,'Computer Software/Hardware','Software Engineer'
'Third-tier city',No,Bachelor,'3 years',low,State-owned,50-150,'Computer Software/Hardware','Internet Software Development Engineer'
'Third-tier city',No,Bachelor,'1 year',low,Listed,1000-5000,Education,Others
'Third-tier city',No,Bachelor,'Not Required',low,Private-owned,50-150,'Computer services','Software Engineer'
'Third-tier city',No,'Not Required','1 year',low,Private-owned,150-500,'Computer services',Others
'Third-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,'Computer Software/Hardware','Senior software engineer'
'Third-tier city',No,Bachelor,'Not Required',low,Private-owned,50-150,'Computer services','Software Engineer'
'Third-tier city',No,Bachelor,'Fresh graduate',medium,State-owned,150-500,Others,'Web front-end development'
'Third-tier city',No,Bachelor,'3 years',medium,Private-owned,500-1000,E-commerce,'Software Engineer'
'Third-tier city',No,Bachelor,'2 years',low,'Foreign (except EU & US)',50-150,'Computer Software/Hardware','Internet Software Development Engineer'
'Third-tier city',No,Bachelor,'2 years',low,'Foreign(EU & US)',500-1000,'Computer Software/Hardware','Senior software engineer'
'Third-tier city',No,Bachelor,'1 year',medium,Listed,50-150,'Computer services','Software Engineer'
'Third-tier city',No,Bachelor,'3 years',low,'Joint venture',1000-5000,'Computer Software/Hardware','Software Engineer'
'Third-tier city',Yes,Bachelor,'Fresh graduate',low,Listed,'Over 10k',Finance,'Java Developer'
'Third-tier city',No,Bachelor,'1 year',low,Listed,150-500,'Computer Software/Hardware','Software Engineer'
'Third-tier city',No,'College degree','2 years',medium,Private-owned,500-1000,Others,'Software Engineer'
'Other First-tier city',No,Bachelor,'1 year',medium,State-owned,50-150,Education,'Software Engineer'
'Third-tier city',No,'College degree','2 years',medium,Private-owned,50-150,'Computer Software/Hardware','Senior software engineer'
'Third-tier city',No,Bachelor,'2 years',medium,Private-owned,150-500,'Computer Software/Hardware',Others
'Third-tier city',No,'Not Required','5 years',medium,Private-owned,150-500,'Computer Software/Hardware','Software Engineer'
'Third-tier city',No,Bachelor,'3 years',low,Listed,5000-10000,'Computer services','Internet Software Development Engineer'
'Third-tier city',No,'College degree','2 years',low,Private-owned,50-150,'Computer services','Software Engineer'
'First-tier city',Yes,'College degree','Fresh graduate',low,Private-owned,150-500,'Engineering/Electronic technology','Software Engineer'
'Third-tier city',No,'College degree','2 years',medium,Private-owned,50-150,Others,'Java Developer'
'Third-tier city',No,Bachelor,'5 years',low,Listed,500-1000,'Communications/Telecommunications/Network equipment','Software Engineer'
'Third-tier city',No,Bachelor,'5 years',medium,Private-owned,1000-5000,'Computer services','Senior software engineer'
'Third-tier city',No,Bachelor,'2 years',medium,Private-owned,1000-5000,'Communications/Telecommunications/Network equipment','Software Engineer'
'Third-tier city',No,Bachelor,'1 year',low,Private-owned,500-1000,'Engineering/Electronic technology','Senior software engineer'
'Third-tier city',No,Bachelor,'1 year',low,Private-owned,50-150,'Computer services','Software Engineer'
'Third-tier city',No,'College degree','1 year',medium,'Joint venture',50-150,'Communications/Telecommunications/Network equipment','Java Developer'
'Third-tier city',No,Bachelor,'3 years',medium,Listed,1000-5000,'Communications/Telecommunications/Network equipment','Software Engineer'
'Third-tier city',No,Bachelor,'2 years',low,Private-owned,150-500,'Computer Software/Hardware','Software Engineer'
'Third-tier city',No,'College degree','5 years',medium,Private-owned,50-150,'Computer Software/Hardware','Senior software engineer'
'Third-tier city',No,Bachelor,'Fresh graduate',low,Listed,500-1000,'Computer Software/Hardware','Software Engineer'
'Third-tier city',No,'College degree','2 years',low,Private-owned,50-150,'Engineering/Electronic technology','Java Developer'
'Third-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,'Engineering/Electronic technology','Senior software engineer'
'Third-tier city',No,'College degree','1 year',medium,Listed,1000-5000,'Computer Software/Hardware','Internet Software Development Engineer'
'Third-tier city',No,'Not Required','1 year',low,'Foreign (except EU & US)','Less than 50','Computer services','Software Engineer'
'Third-tier city',No,Bachelor,'3 years',low,State-owned,150-500,'Computer services','Software Engineer'
'Third-tier city',No,Bachelor,'3 years',low,Private-owned,500-1000,'Communications/Telecommunications/Network equipment','Senior software engineer'
'Third-tier city',No,'College degree','2 years',low,Private-owned,500-1000,'Computer Software/Hardware','Software Engineer'
'Third-tier city',No,'College degree','2 years',low,Private-owned,'Less than 50','Computer Software/Hardware','Java Developer'
'Third-tier city',No,Bachelor,'3 years',medium,Private-owned,1000-5000,'Computer Software/Hardware','Java Developer'
'Third-tier city',No,Bachelor,'2 years',medium,State-owned,50-150,E-commerce,'Java Developer'
'Third-tier city',No,Bachelor,'3 years',low,Private-owned,150-500,Finance,'Java Developer'
'Third-tier city',No,'Not Required','2 years',low,Private-owned,50-150,'Computer services','Software Engineer'
'Third-tier city',No,Bachelor,'5 years',medium,Private-owned,5000-10000,'Computer Software/Hardware','Senior software engineer'
'Third-tier city',No,'College degree','1 year',low,Private-owned,50-150,E-commerce,'Software Engineer'
'First-tier city',No,Bachelor,'1 year',medium,'Foreign (except EU & US)',500-1000,'Professional service','Senior software engineer'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,50-150,E-commerce,'Internet Software Development Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,'Computer Software/Hardware','Senior software engineer'
'First-tier city',No,Bachelor,'2 years',medium,Private-owned,'Less than 50','Medical/Biological Engineering','Software Engineer'
'First-tier city',No,Bachelor,'2 years',medium,Private-owned,150-500,'Computer services','Java Developer'
'First-tier city',No,'College degree','2 years',medium,Private-owned,500-1000,'Computer Software/Hardware','Software Engineer'
'First-tier city',No,Bachelor,'3 years',medium,'Joint venture',50-150,'Professional service','Java Developer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,'Professional service','Java Developer'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,150-500,E-commerce,'Senior software engineer'
'First-tier city',No,Bachelor,'2 years',medium,Private-owned,150-500,Gaming,'Java Developer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,'Computer Software/Hardware','Internet Software Development Engineer'
'First-tier city',No,'College degree','Fresh graduate',low,Private-owned,50-150,'Computer Software/Hardware','Software Engineer'
'Second-tier city',No,'College degree','3 years',low,'Joint venture',50-150,Equipment,'Software Engineer'
'Second-tier city',No,Bachelor,'2 years',low,Listed,150-500,'Computer Software/Hardware','Software Engineer'
'First-tier city',No,Master,'Fresh graduate',medium,Private-owned,5000-10000,'Communications/Telecommunications/Network equipment','Software Engineer'
'First-tier city',No,'College degree','5 years',medium,Listed,1000-5000,'Computer Software/Hardware','Java Developer'
'First-tier city',No,'College degree','3 years',medium,Private-owned,50-150,E-commerce,'Java Developer'
'Other First-tier city',No,Bachelor,'1 year',medium,Listed,1000-5000,'Computer services','Java Developer'
'First-tier city',No,Bachelor,'5 years',medium,'Joint venture',150-500,'Computer Software/Hardware',Others
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,'Less than 50','Engineering/Electronic technology','Senior software engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,'Computer Software/Hardware','Java Developer'
'First-tier city',No,Bachelor,'1 year',medium,Private-owned,150-500,'Computer services','Java Developer'
'First-tier city',No,Bachelor,'Fresh graduate',low,Private-owned,150-500,E-commerce,'Java Developer'
'First-tier city',No,Bachelor,'3 years',medium,Listed,150-500,'Computer services','Software Engineer'
'First-tier city',No,'College degree','3 years',medium,Private-owned,150-500,E-commerce,'Senior software engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,'Less than 50',E-commerce,'Software Engineer'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,50-150,Service,'Internet Software Development Engineer'
'Other First-tier city',No,'College degree','2 years',medium,'Joint venture',50-150,Gaming,'Java Developer'
'First-tier city',No,'Not Required','5 years',medium,Listed,1000-5000,E-commerce,'Senior software engineer'
'First-tier city',No,Bachelor,'4 years',medium,Private-owned,50-150,'Computer Software/Hardware','Software Engineer'
'First-tier city',No,Bachelor,'5 years',medium,State-owned,150-500,Gaming,'Senior software engineer'
'First-tier city',No,Bachelor,'5 years',medium,'Foreign(EU & US)',50-150,'Computer services','Senior software engineer'
'First-tier city',No,Bachelor,'1 year',medium,Private-owned,150-500,Finance,'Software Engineer'
'Other First-tier city',No,Bachelor,'2 years',medium,State-owned,500-1000,Others,'Senior software engineer'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,150-500,'Computer services','Senior software engineer'
'First-tier city',No,'College degree','3 years',medium,Private-owned,'Less than 50','Computer Software/Hardware','Software Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,1000-5000,Finance,'Software Engineer'
'Other First-tier city',No,'College degree','3 years',medium,Private-owned,50-150,Others,'Java Developer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,'Computer Software/Hardware','Senior software engineer'
'First-tier city',No,Bachelor,'2 years',medium,Private-owned,50-150,Equipment,'Software Engineer'
'Second-tier city',Yes,Bachelor,'Fresh graduate',low,Private-owned,150-500,'Professional service','Java Developer'
'First-tier city',No,Bachelor,'Not Required',medium,Private-owned,150-500,Equipment,'Software Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,'Less than 50','Computer services','Senior software engineer'
'First-tier city',No,Bachelor,'3 years',medium,State-owned,1000-5000,Others,'Software Engineer'
'First-tier city',No,Bachelor,'Fresh graduate',low,Private-owned,150-500,E-commerce,'Senior software engineer'
'First-tier city',No,'College degree','Not Required',medium,State-owned,50-150,'Computer Software/Hardware','Senior software engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,5000-10000,Education,'Senior software engineer'
'First-tier city',No,'College degree','3 years',medium,Private-owned,50-150,'Computer services','Senior software engineer'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,'Less than 50','Computer Software/Hardware','Software Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,'Over 10k',Others,'Software Engineer'
'First-tier city',No,Bachelor,'1 year',medium,State-owned,500-1000,'Communications/Telecommunications/Network equipment','Internet Software Development Engineer'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,150-500,Finance,'Java Developer'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,150-500,Others,Manager
'First-tier city',No,'Not Required','2 years',medium,Private-owned,500-1000,Gaming,'Java Developer'
'First-tier city',No,'College degree','1 year',medium,Private-owned,50-150,E-commerce,ERP
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,E-commerce,'Software Engineer'
'Second-tier city',No,Bachelor,'3 years',low,Listed,500-1000,E-commerce,'Internet Software Development Engineer'
'First-tier city',No,Bachelor,'5 years',medium,Listed,1000-5000,Education,'Internet Software Development Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,500-1000,'Medical/Biological Engineering','Software Engineer'
'First-tier city',No,Bachelor,'1 year',medium,Institution,150-500,'Computer Software/Hardware','Software Engineer'
'First-tier city',No,'College degree','3 years',medium,'Joint venture',150-500,E-commerce,'Software Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,E-commerce,Others
'Second-tier city',No,'College degree','3 years',medium,Private-owned,'Less than 50','Computer Software/Hardware','Software Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,E-commerce,'Internet Software Development Engineer'
'First-tier city',No,Bachelor,'3 years',medium,New,150-500,E-commerce,'Senior software engineer'
'Second-tier city',No,'College degree','5 years',medium,Private-owned,150-500,E-commerce,'Senior software engineer'
'First-tier city',No,Bachelor,'5 years',medium,Listed,'Over 10k',Service,'Senior software engineer'
'First-tier city',No,Bachelor,'4 years',medium,Private-owned,'Less than 50',E-commerce,'Java Developer'
'First-tier city',No,'Not Required','Not Required',medium,Private-owned,50-150,'Medical/Biological Engineering','Senior software engineer'
'First-tier city',No,Bachelor,'1 year',medium,Private-owned,'Less than 50','Engineering/Electronic technology','Internet Software Development Engineer'
'First-tier city',No,Bachelor,'2 years',medium,'Foreign (except EU & US)',150-500,'Computer services','Software Engineer'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,'Less than 50','Computer Software/Hardware','Internet Software Development Engineer'
'Second-tier city',No,Bachelor,'3 years',medium,Private-owned,'Less than 50','Computer Software/Hardware','Internet Software Development Engineer'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,'Less than 50',E-commerce,'Internet Software Development Engineer'
'First-tier city',No,Bachelor,'5 years',medium,State-owned,150-500,'Computer Software/Hardware','Senior software engineer'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,150-500,E-commerce,'Internet Software Development Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,Finance,'Software Engineer'
'First-tier city',No,Bachelor,'3 years',medium,State-owned,1000-5000,Finance,'Software Engineer'
'Second-tier city',No,Bachelor,'5 years',medium,Private-owned,'Less than 50','Computer Software/Hardware','Senior software engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,'Computer Software/Hardware','System architect'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,150-500,Service,'Software Engineer'
'First-tier city',No,Bachelor,'3 years',medium,State-owned,'Less than 50',E-commerce,'Software Engineer'
'First-tier city',No,'College degree','3 years',medium,Private-owned,'Less than 50','Computer services',Manager
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,'Communications/Telecommunications/Network equipment','Java Developer'
'Second-tier city',No,'College degree','2 years',medium,'Foreign (except EU & US)',50-150,'Engineering/Electronic technology','Internet Software Development Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Listed,'Over 10k',Others,'Internet Software Development Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,Others,'Senior software engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,Equipment,'Senior software engineer'
'First-tier city',No,'College degree','5 years',medium,Private-owned,50-150,E-commerce,'Senior software engineer'
'First-tier city',No,Bachelor,'1 year',low,Listed,150-500,'Computer Software/Hardware','Software Engineer'
'Second-tier city',No,Bachelor,'3 years',medium,'Joint venture',1000-5000,Finance,'Software Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,Others,'Senior software engineer'
'First-tier city',No,'College degree','3 years',medium,Listed,1000-5000,E-commerce,'Software Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,'Less than 50',E-commerce,'Senior software engineer'
'First-tier city',No,'College degree','2 years',medium,Private-owned,'Less than 50',E-commerce,'Software Engineer'
'First-tier city',No,Bachelor,'5 years',medium,New,50-150,E-commerce,Others
'First-tier city',No,'Not Required','3 years',medium,State-owned,5000-10000,Service,Others
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,150-500,E-commerce,'Internet Software Development Engineer'
'First-tier city',No,'Not Required','3 years',medium,'Foreign (except EU & US)',1000-5000,Finance,'Software Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,E-commerce,'Software Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,500-1000,'Computer Software/Hardware','Software Engineer'
'First-tier city',No,Bachelor,'2 years',medium,State-owned,150-500,E-commerce,Others
'First-tier city',No,'College degree','3 years',medium,Private-owned,50-150,'Engineering/Electronic technology','Senior software engineer'
'First-tier city',No,Bachelor,'2 years',medium,Private-owned,50-150,'Communications/Telecommunications/Network equipment','Software Engineer'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,50-150,'Communications/Telecommunications/Network equipment','Internet Software Development Engineer'
'First-tier city',No,Bachelor,'Not Required',medium,Private-owned,'Less than 50',Finance,'Senior software engineer'
'First-tier city',No,'College degree','2 years',medium,'Joint venture',500-1000,Equipment,'Internet Software Development Engineer'
'First-tier city',No,Bachelor,'1 year',low,Private-owned,150-500,'Engineering/Electronic technology','Internet Software Development Engineer'
'First-tier city',Yes,'College degree','1 year',low,Private-owned,50-150,'Engineering/Electronic technology','Java Developer'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,150-500,Service,'Senior software engineer'
'First-tier city',No,Bachelor,'5 years',medium,Listed,1000-5000,Others,'Software Engineer'
'Second-tier city',No,'College degree','5 years',medium,Private-owned,50-150,E-commerce,'Software Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,1000-5000,Finance,'Software Engineer'
'First-tier city',No,Bachelor,'2 years',medium,Private-owned,150-500,Finance,'Internet Software Development Engineer'
'First-tier city',No,Bachelor,'2 years',medium,New,'Less than 50','Communications/Telecommunications/Network equipment',Others
'Second-tier city',No,Bachelor,'3 years',medium,'Joint venture',5000-10000,Finance,'Software Engineer'
'First-tier city',No,'College degree','Fresh graduate',low,Private-owned,150-500,Others,'Software Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,'Computer Software/Hardware','Software Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,'Less than 50','Computer services','Software Engineer'
'First-tier city',No,Bachelor,'2 years',medium,Private-owned,50-150,'Computer Software/Hardware','Senior software engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,1000-5000,'Computer Software/Hardware','Senior software engineer'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,50-150,E-commerce,'Senior software engineer'
'First-tier city',No,'College degree','5 years',medium,Private-owned,5000-10000,Finance,'Senior software engineer'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,'Over 10k',E-commerce,'Senior software engineer'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,1000-5000,Gaming,'Internet Software Development Engineer'
'First-tier city',No,Bachelor,'2 years',medium,New,'Less than 50',E-commerce,'Java Developer'
'First-tier city',No,Bachelor,'3 years',medium,New,50-150,'Computer Software/Hardware','Senior software engineer'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,50-150,'Computer Software/Hardware','Senior software engineer'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,50-150,'Computer services','Senior software engineer'
'First-tier city',No,Bachelor,'5 years',medium,State-owned,50-150,'Computer services',ERP
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,150-500,E-commerce,'Internet Software Development Engineer'
'First-tier city',No,Bachelor,'Fresh graduate',medium,'Foreign (except EU & US)',150-500,'Communications/Telecommunications/Network equipment','Software Engineer'
'First-tier city',No,Bachelor,'2 years',medium,Private-owned,150-500,'Computer Software/Hardware','Internet Software Development Engineer'
'Second-tier city',No,Bachelor,'3 years',medium,Private-owned,'Less than 50','Professional service','Senior software engineer'
'First-tier city',No,'College degree','1 year',low,Private-owned,50-150,'Professional service','Internet Software Development Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,500-1000,'Computer services','Software Engineer'
'First-tier city',No,'Not Required','5 years',medium,Private-owned,'Less than 50',Gaming,'Senior software engineer'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,150-500,'Computer Software/Hardware','Senior software engineer'
'First-tier city',No,Bachelor,'Fresh graduate',low,Private-owned,50-150,'Computer services','Internet Software Development Engineer'
'First-tier city',No,Bachelor,'1 year',medium,Private-owned,'Less than 50','Computer Software/Hardware','Java Developer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,E-commerce,'Software Engineer'
'First-tier city',No,'College degree','3 years',medium,'Foreign(EU & US)',50-150,'Engineering/Electronic technology','Software Engineer'
'First-tier city',No,'College degree','3 years',medium,Private-owned,150-500,Finance,'Senior software engineer'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,150-500,E-commerce,'Senior software engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,'Computer Software/Hardware','Technical support/maintenance engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,'Less than 50','Communications/Telecommunications/Network equipment','Java Developer'
'First-tier city',No,Bachelor,'5 years',medium,'Foreign (except EU & US)',150-500,E-commerce,'Senior software engineer'
'First-tier city',No,Bachelor,'3 years',medium,'Joint venture',5000-10000,'Computer services','Senior software engineer'
'First-tier city',No,Bachelor,'2 years',medium,Private-owned,50-150,E-commerce,'Senior software engineer'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,50-150,E-commerce,'Senior software engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,'Computer services','Senior software engineer'
'First-tier city',No,Bachelor,'2 years',medium,New,'Less than 50',E-commerce,'Internet Software Development Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,'Less than 50','Professional service','Java Developer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,'Computer Software/Hardware','Java Developer'
'First-tier city',No,'College degree','3 years',medium,Private-owned,150-500,E-commerce,'Internet Software Development Engineer'
'First-tier city',No,Bachelor,'8 years',medium,Private-owned,50-150,Finance,'Senior software engineer'
